SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL
24994,"10251","1","Advanced Models","Modular Buildings","2016","Brick Bank",5,2380,119.99,169.99,219.99,149.99,"http://images.brickset.com/sets/images/10251-1.jpg"
25617,"10253","1","Advanced Models","Buildings","2016","Big Ben",,,,,,,
24995,"10702","1","Classic","","2016","Creative Building Set",,583,19.99,29.99,39.99,24.99,"http://images.brickset.com/sets/images/10702-1.jpg"
24738,"10720","1","Juniors","City","2016","Police Helicopter Chase",,63,8.99,,,9.99,"http://images.brickset.com/sets/images/10720-1.jpg"
24739,"10721","1","Juniors","Super Heroes","2016","Iron Man vs. Loki",2,66,11.99,,,12.99,"http://images.brickset.com/sets/images/10721-1.jpg"
24740,"10722","1","Juniors","Ninjago","2016","Snake Showdown",,92,12.99,,,14.99,"http://images.brickset.com/sets/images/10722-1.jpg"
24741,"10723","1","Juniors","Disney Princess","2016","Ariel's Dolphin Carriage",,70,12.99,,,14.99,"http://images.brickset.com/sets/images/10723-1.jpg"
26028,"10724","1","Juniors","Super Heroes","2016","Batman & Superman vs. Lex Luthor",,164,19.99,,,,
24742,"10725","1","Juniors","Ninjago","2016","Lost Temple",,172,24.99,,,34.99,"http://images.brickset.com/sets/images/10725-1.jpg"
25942,"10726","1","Juniors","Friends","2016","Stephanie's Horse Carriage",,58,8.99,,,,
25943,"10727","1","Juniors","Friends","2016","Emma's Ice Cream Truck",,136,17.99,,,,
25944,"10728","1","Juniors","Friends","2016","Mia's Vet Clinic",,173,,,,,
24743,"10729","1","Juniors","Disney Princess","2016","Cinderella's Carriage",,116,19.99,,,24.99,"http://images.brickset.com/sets/images/10729-1.jpg"
24707,"10801","1","Duplo","","2016","Baby Animals",,13,9.99,9.99,12.99,9.99,"http://images.brickset.com/sets/images/10801-1.jpg"
24708,"10802","1","Duplo","","2016","Savanna",,18,16.99,19.99,24.99,19.99,"http://images.brickset.com/sets/images/10802-1.jpg"
24709,"10803","1","Duplo","","2016","Arctic",2,40,24.99,29.99,39.99,29.99,"http://images.brickset.com/sets/images/10803-1.jpg"
25656,"10804","1","Duplo","","2016","Jungle",,86,39.99,49.99,64.99,59.99,"http://images.brickset.com/sets/images/10804-1.jpg"
25874,"10805","1","Duplo","","2016","Around the World",,163,79.99,99.99,129.99,99.99,"http://images.brickset.com/sets/images/10805-1.jpg"
24710,"10806","1","Duplo","","2016","Horses",,20,12.99,14.99,17.99,14.99,"http://images.brickset.com/sets/images/10806-1.jpg"
24711,"10807","1","Duplo","","2016","Horse Trailer",,15,16.99,19.99,24.99,19.99,"http://images.brickset.com/sets/images/10807-1.jpg"
24712,"10808","1","Duplo","","2016","Little Plane",,13,9.99,9.99,12.99,9.99,"http://images.brickset.com/sets/images/10808-1.jpg"
24713,"10809","1","Duplo","","2016","Police Patrol",,15,12.99,14.99,17.99,14.99,"http://images.brickset.com/sets/images/10809-1.jpg"
26071,"10810","1","Duplo","Trains","2016","Push Train",,45,,,,,
26073,"10811","1","Duplo","Construction","2016","Backhoe Loader",,19,,,,,
26072,"10812","1","Duplo","Construction","2016","Truck & Tracked Excavator",,26,,,,,
26070,"10813","1","Duplo","Construction","2016","Big Construction Site",,67,,,,,
24714,"10814","1","Duplo","","2016","Tow Truck",,28,16.99,19.99,24.99,19.99,"http://images.brickset.com/sets/images/10814-1.jpg"
24891,"10815","1","Duplo","","2016","My First Rocket",,18,8.99,9.99,12.99,9.99,"http://images.brickset.com/sets/images/10815-1.jpg"
24715,"10816","1","Duplo","","2016","My First Cars and Trucks",,36,14.99,19.99,24.99,19.99,"http://images.brickset.com/sets/images/10816-1.jpg"
24716,"10817","1","Duplo","","2016","Creative Chest",,70,19.99,29.99,39.99,24.99,"http://images.brickset.com/sets/images/10817-1.jpg"
24717,"10818","1","Duplo","","2016","My First Truck",,29,16.99,19.99,19.99,19.99,"http://images.brickset.com/sets/images/10818-1.jpg"
24718,"10819","1","Duplo","","2016","My First Garden",,25,16.99,19.99,19.99,19.99,"http://images.brickset.com/sets/images/10819-1.jpg"
24892,"10822","1","Duplo","Sophia the First","2016","Sofia's Magical Carriage",,30,,,,,
24893,"10823","1","Duplo","","2016","Minnie's Bowtique",,,,,,,
25654,"10824","1","Duplo","Miles from Tomorrowland","2016","Miles' Space Adventures",1,23,17.99,19.99,24.99,19.99,"http://images.brickset.com/sets/images/10824-1.jpg"
26068,"10825","1","Duplo","Miles from Tomorrowland","2016","Miles' Exo-Flex Suit",,37,,,,,
25655,"10826","1","Duplo","Miles from Tomorrowland","2016","Miles' Stellosphere Hangar",1,44,29.99,34.99,44.99,34.99,"http://images.brickset.com/sets/images/10826-1.jpg"
26069,"10827","1","Duplo","Mickey Mouse Clubhouse","2016","Mickey & Friends Beach House",,48,,,,,
26067,"10828","1","Duplo","Doc McStuffins","2016","Doc's Pet Vet Care",,30,,,,,
24719,"10829","1","Duplo","Mickey Mouse Clubhouse","2016","Mickey's Workshop",,18,16.99,19.99,24.99,19.99,"http://images.brickset.com/sets/images/10829-1.jpg"
24720,"10830","1","Duplo","","2016","Minnie's Café",,27,16.99,19.99,24.99,19.99,"http://images.brickset.com/sets/images/10830-1.jpg"
24721,"10831","1","Duplo","","2016","My First Caterpillar",,19,9.99,9.99,12.99,9.99,"http://images.brickset.com/sets/images/10831-1.jpg"
24662,"21026","1","Architecture","Skylines","2016","Venice",,212,24.99,29.99,39.99,29.99,"http://images.brickset.com/sets/images/21026-1.jpg"
24663,"21027","1","Architecture","Skylines","2016","Berlin",,289,24.99,29.99,39.99,29.99,"http://images.brickset.com/sets/images/21027-1.jpg"
24664,"21028","1","Architecture","Skylines","2016","New York City",,598,39.99,59.99,74.99,49.99,"http://images.brickset.com/sets/images/21028-1.jpg"
25618,"21029","1","Architecture","","2016","Buckingham Palace",,,,,,,"http://images.brickset.com/sets/images/21029-1.jpg"
25619,"21030","1","Architecture","","2016","United States Capitol Building",,,,,,,"http://images.brickset.com/sets/images/21030-1.jpg"
24665,"21031","1","Architecture","","2016","Burj Khalifa",,333,39.99,39.99,49.99,39.99,"http://images.brickset.com/sets/images/21031-1.jpg"
24752,"21123","1","Minecraft","Minifig-scale","2016","The Iron Golem",,,,,,,"http://images.brickset.com/sets/images/21123-1.jpg"
24753,"21124","1","Minecraft","Minifig-scale","2016","The End Portal",,,,,,,"http://images.brickset.com/sets/images/21124-1.jpg"
24754,"21125","1","Minecraft","Minifig-scale","2016","The Jungle Tree House",,,,,,,"http://images.brickset.com/sets/images/21125-1.jpg"
24755,"21126","1","Minecraft","Minifig-scale","2016","The Wither",,,,,,,"http://images.brickset.com/sets/images/21126-1.jpg"
25611,"21127","1","Minecraft","Minifig-scale","2016","The Fortress",,,89.99,109.99,,,"http://images.brickset.com/sets/images/21127-1.jpg"
25612,"21128","1","Minecraft","Minifig-scale","2016","The Village",,,,199.99,,,
25658,"21305","1","Ideas","","2016","Maze",,769,,69.99,,,
25906,"30277","1","Star Wars","The Force Awakens","2016","First Order Star Destroyer",,,,,,,"http://images.brickset.com/sets/images/30277-1.jpg"
25599,"30278","1","Star Wars","The Force Awakens","2016","Poe's X-wing Fighter",,64,,3.99,,,"http://images.brickset.com/sets/images/30278-1.jpg"
25850,"30279","1","Star Wars","The Force Awakens","2016","Kylo Ren's Command Shuttle",,43,,,,,"http://images.brickset.com/sets/images/30279 -1.jpg"
25907,"30321","1","Duplo","","2016","Duck",,4,,,,,
25908,"30322","1","Duplo","","2016","Wildlife",,7,,,,,
25909,"30346","1","City","Police","2016","Prison Island Helicopter",,46,,,,,"http://images.brickset.com/sets/images/30346-1.jpg"
25910,"30347","1","City","Fire","2016","Fire Car",1,53,,3.99,,,"http://images.brickset.com/sets/images/30347-1.jpg"
25894,"30348","1","City","Construction","2016","Mini Dumper",,45,,,,,"http://images.brickset.com/sets/images/30348-1.jpg"
25893,"30349","1","City","","2016","Sports Car",1,47,,3.99,,,"http://images.brickset.com/sets/images/30349-1.jpg"
24981,"30371","1","Nexo Knights","","2016","Knight's Cycle",,38,,,,,"http://images.brickset.com/sets/images/30371-1.jpg"
24982,"30372","1","Nexo Knights","","2016","Robin's Mini Fortrex",1,45,,,,,"http://images.brickset.com/sets/images/30372-1.jpg"
24983,"30373","1","Nexo Knights","","2016","Knighton Hyper Cannon",,,,,,,"http://images.brickset.com/sets/images/30373-1.jpg"
24984,"30374","1","Nexo Knights","","2016","The Lava Slinger",,40,,,,,"http://images.brickset.com/sets/images/30374-1.jpg"
26055,"30375","1","Elves","","2016","Sira's Adventurous Airglider",,,,,,,
25911,"30396","1","Friends","","2016","Cupcake Stall",,,,,,,"http://images.brickset.com/sets/images/30396-1.jpg"
24985,"30397","1","Disney Princess","Frozen","2016","Olaf's Summertime Fun",1,,,,,,"http://images.brickset.com/sets/images/30397-1.jpg"
25855,"30398","1","Friends","Adventure Camp","2016","Adventure Camp Bridge",1,37,,,,,"http://images.brickset.com/sets/images/30398-1.jpg"
24996,"30421","1","Ninjago","Skybound","2016","Skybound Plane",,30,,,,,"http://images.brickset.com/sets/images/30421-1.jpg"
24997,"30422","1","Ninjago","Skybound","2016","Kai's Mini Dragon",,39,,,,,"http://images.brickset.com/sets/images/30422-1.jpg"
24986,"30446","1","DC Comics Super Heroes","Batman v Superman: Dawn of Justice","2016","The Batmobile",,63,,3.99,,,"http://images.brickset.com/sets/images/30446-1.jpg"
26064,"30447","1","Marvel Super Heroes","Captain America: Civil War","2016","Captain America's Motorcycle ",,,,,,,
25945,"30448","1","Marvel Super Heroes","Ultimate Spider-Man","2016","Spider-Man vs. The Venom Symbiote",,49,,,,,"http://images.brickset.com/sets/images/30448-1.jpg"
24998,"30471","1","Creator","","2016","Helicopter",,,,,,,"http://images.brickset.com/sets/images/30471-1.jpg"
24999,"30472","1","Creator","","2016","Parrot",,43,,,,,"http://images.brickset.com/sets/images/30472-1.jpg"
25912,"30473","1","Juniors","","2016","Racer",,,,,,,"http://images.brickset.com/sets/images/30473-1.jpg"
25000,"30474","1","Creator","Seasonal","2016","Reindeer",,,,,,,"http://images.brickset.com/sets/images/30474-1.jpg"
26063,"30603","1","DC Comics Super Heroes","Classic Batman TV Series","2016","Batman Classic TV Series - Mr. Freeze",,16,,,,,"http://images.brickset.com/sets/images/30603-1.jpg"
25001,"30604","1","DC Comics Super Heroes","","2016","Cosmic Boy",,,,,,,"http://images.brickset.com/sets/images/30604-1.jpg"
25598,"30605","1","Star Wars","The Force Awakens","2016","Finn (FN-2187)",1,5,,,,,"http://images.brickset.com/sets/images/30605-1.jpg"
24894,"31040","1","Creator","","2016","Desert Racers",,65,4.99,4.99,6.99,4.99,"http://images.brickset.com/sets/images/31040-1.jpg"
24895,"31041","1","Creator","","2016","Construction Vehicles",,64,4.99,4.99,6.99,4.99,"http://images.brickset.com/sets/images/31041-1.jpg"
24690,"31042","1","Creator","","2016","Super Soarer",,100,9.99,9.99,12.99,9.99,"http://images.brickset.com/sets/images/31042-1.jpg"
24691,"31043","1","Creator","","2016","Chopper Transporter",,124,9.99,9.99,12.99,9.99,"http://images.brickset.com/sets/images/31043-1.jpg"
24692,"31044","1","Creator","","2016","Park Animals",,202,12.99,14.99,19.99,14.99,"http://images.brickset.com/sets/images/31044-1.jpg"
24693,"31045","1","Creator","","2016","Ocean Explorer",,213,12.99,14.99,19.99,14.99,"http://images.brickset.com/sets/images/31045-1.jpg"
24896,"31046","1","Creator","","2016","Fast Car",,222,17.99,19.99,24.99,19.99,"http://images.brickset.com/sets/images/31046-1.jpg"
24694,"31047","1","Creator","","2016","Propeller Plane",,230,17.99,19.99,24.99,19.99,"http://images.brickset.com/sets/images/31047-1.jpg"
24695,"31048","1","Creator","","2016","Lakeside Lodge",1,368,19.99,29.99,39.99,24.99,"http://images.brickset.com/sets/images/31048-1.jpg"
25616,"31049","1","Creator","","2016","Dual Rotor Helicopter",,,19.99,,,,"http://images.brickset.com/sets/images/31049-1.jpg"
24696,"31050","1","Creator","","2016","Corner Deli",2,467,27.99,39.99,49.99,34.99,"http://images.brickset.com/sets/images/31050-1.jpg"
25613,"31051","1","Creator","","2016","Cape Lighthouse",,,39.99,,,,"http://images.brickset.com/sets/images/31051-1.jpg"
25614,"31052","1","Creator","","2016","Vacation Getaways",,,49.99,,,,"http://images.brickset.com/sets/images/31052-1.jpg"
25615,"31053","1","Creator","","2016","Tree House Adventures",,,24.99,,,,"http://images.brickset.com/sets/images/31053-1.jpg"
26062,"40165","1","Miscellaneous","","2016","Minifigure Wedding Favour Set",,89,,,,,"http://images.brickset.com/sets/images/40165-1.jpg"
24987,"40201","1","Seasonal","Valentine's Day","2016","Valentine's Cupid Dog",,150,8.49,9.99,11.99,9.99,"http://images.brickset.com/sets/images/40201-1.jpg"
24988,"40202","1","Seasonal","Easter","2016","Easter Chick",,111,,9.99,,,
24989,"40207","1","Creator","Chinese New Year","2016","Year of the Monkey",,165,,,,,"http://images.brickset.com/sets/images/40207-1.jpg"
25963,"40208","1","Promotional","Monthly Mini Model Build","2016","Polar Bear",,,,,,,"http://images.brickset.com/sets/images/40208-1.jpg"
24990,"40209","1","Promotional","Monthly Mini Model Build","2016","Snowmobile",,,,,,,"http://images.brickset.com/sets/images/40209-1.jpg"
24991,"40221","1","Seasonal","","2016","{?}",,,,,,,
26016,"40223","1","Seasonal","Christmas","2016","Christmas Ornament",,,,,,,"http://images.brickset.com/sets/images/40223-1.jpg"
25905,"40227","1","Promotional","","2016","MSC Meraviglia",,180,,,,,"http://images.brickset.com/sets/images/40227-1.jpg"
26022,"41065","1","Disney Princess","Tangled","2016","Rapunzel's Best Day Ever",,145,19.99,,,,
24625,"41066","1","Disney Princess","Frozen","2016","Anna & Kristoff's Sleigh Adventure",2,174,24.99,29.99,39.99,29.99,"http://images.brickset.com/sets/images/41066-1.jpg"
25933,"41067","1","Disney Princess","Beauty and the Beast","2016","Belle's Enchanted Castle",,374,49.99,,,,
24626,"41068","1","Disney Princess","Frozen","2016","Arendelle Castle Celebration",6,477,49.99,59.99,74.99,59.99,"http://images.brickset.com/sets/images/41068-1.jpg"
24703,"41069","1","Disney Princess","Palace Pets","2016","Treasure's Day at the Pool",,70,6.99,5.99,7.99,7.99,"http://images.brickset.com/sets/images/41069-1.jpg"
24728,"41110","1","Friends","Party","2016","Birthday Party",,191,17.99,19.99,24.99,19.99,"http://images.brickset.com/sets/images/41110-1.jpg"
24729,"41111","1","Friends","Party","2016","Party Train",1,109,8.99,9.99,12.99,9.99,"http://images.brickset.com/sets/images/41111-1.jpg"
24897,"41112","1","Friends","Party","2016","Party Cakes",,50,3.99,4.99,6.99,4.99,"http://images.brickset.com/sets/images/41112-1.jpg"
24898,"41113","1","Friends","Party","2016","Party Gift Shop",,52,3.99,4.99,6.99,4.99,"http://images.brickset.com/sets/images/41113-1.jpg"
24899,"41114","1","Friends","Party","2016","Party Styling",,54,3.99,4.99,6.99,4.99,"http://images.brickset.com/sets/images/41114-1.jpg"
24730,"41115","1","Friends","","2016","Emma's Creative Workshop",1,108,8.99,9.99,12.99,9.99,"http://images.brickset.com/sets/images/41115-1.jpg"
24731,"41116","1","Friends","","2016","Olivia's Exploration Car",1,185,12.99,14.99,17.99,14.99,"http://images.brickset.com/sets/images/41116-1.jpg"
24732,"41117","1","Friends","Pop Star","2016","Pop Star TV Studio",1,194,17.99,19.99,24.99,24.99,"http://images.brickset.com/sets/images/41117-1.jpg"
24733,"41118","1","Friends","","2016","Heartlake Supermarket",2,313,29.99,29.99,39.99,34.99,"http://images.brickset.com/sets/images/41118-1.jpg"
24734,"41119","1","Friends","","2016","Heartlake Cupcake Cafe",2,439,34.99,39.99,49.99,39.99,"http://images.brickset.com/sets/images/41119-1.jpg"
24735,"41120","1","Friends","Adventure Camp","2016","Adventure Camp Archery",1,114,8.99,9.99,12.99,9.99,"http://images.brickset.com/sets/images/41120-1.jpg"
24736,"41121","1","Friends","Adventure Camp","2016","Adventure Camp Rafting",,320,24.99,29.99,39.99,29.99,"http://images.brickset.com/sets/images/41121-1.jpg"
24900,"41122","1","Friends","Adventure Camp","2016","Adventure Camp Tree House",,726,59.99,79.99,99.99,69.99,"http://images.brickset.com/sets/images/41122-1.jpg"
25934,"41123","1","Friends","Vet","2016","Foal's Washing Station",,,8.99,,,,
25935,"41124","1","Friends","Vet","2016","Puppy Daycare",,,24.99,,,,"http://images.brickset.com/sets/images/41124-1.jpg"
25936,"41125","1","Friends","","2016","Horse Trailer",,,34.99,,,,
25937,"41126","1","Friends","","2016","Horse Riding Club",,,49.99,,,,
25938,"41127","1","Friends","Amusement Park","2016","Amusement Park Arcade",,,12.99,,,,"http://images.brickset.com/sets/images/41127-1.jpg"
25939,"41128","1","Friends","Amusement Park","2016","Amusement Park Space Ride",,,17.99,,,,"http://images.brickset.com/sets/images/41128-1.jpg"
25940,"41129","1","Friends","Amusement Park","2016","Amusement Park Hot Dog Stand",,,24.99,,,,"http://images.brickset.com/sets/images/41129-1.jpg"
25941,"41130","1","Friends","Amusement Park","2016","Amusement Park Rollercoaster",,,89.99,,,,
26023,"41131","1","Friends","Seasonal","2016","Friends Advent Calendar",,218,,,,,
26044,"41133","1","Friends","Amusement Park","2016","Amusement Park Bumper Cars",,,,,,,
26045,"41134","1","Friends","","2016","Heartlake Performance School",,,,,,,
24737,"41135","1","Friends","Pop Star","2016","Livi's Pop Star House",2,597,49.99,49.99,59.99,54.99,"http://images.brickset.com/sets/images/41135-1.jpg"
24704,"41140","1","Disney Princess","Palace Pets","2016","Daisy's Beauty Salon",,98,8.99,9.99,12.99,9.99,"http://images.brickset.com/sets/images/41140-1.jpg"
24705,"41141","1","Disney Princess","Palace Pets","2016","Pumpkin's Royal Carriage",,79,8.99,9.99,12.99,9.99,"http://images.brickset.com/sets/images/41141-1.jpg"
24706,"41142","1","Disney Princess","Palace Pets","2016","Palace Pets Royal Castle",,186,19.99,19.99,24.99,19.99,"http://images.brickset.com/sets/images/41142-1.jpg"
24722,"41171","1","Elves","","2016","Emily Jones & the Baby Wind Dragon",,80,,9.99,,,"http://images.brickset.com/sets/images/41171-1.jpg"
24723,"41172","1","Elves","","2016","The Water Dragon Adventure",,212,,19.99,,,"http://images.brickset.com/sets/images/41172-1.jpg"
24724,"41173","1","Elves","","2016","Elvendale School of Dragons",,230,,19.99,,,"http://images.brickset.com/sets/images/41173-1.jpg"
24725,"41174","1","Elves","","2016","The Starlight Inn",,343,,29.99,,,"http://images.brickset.com/sets/images/41174-1.jpg"
24726,"41175","1","Elves","","2016","Fire Dragon's Lava Cave",,441,,39.99,,,"http://images.brickset.com/sets/images/41175-1.jpg"
24727,"41176","1","Elves","","2016","The Secret Market Place",,691,,59.99,,,"http://images.brickset.com/sets/images/41176-1.jpg"
26024,"41177","1","Elves","","2016","The Precious Crystal Mine",,273,24.99,29.99,,,"http://images.brickset.com/sets/images/41177-1.jpg"
26025,"41178","1","Elves","","2016","The Dragon Sanctuary",,585,34.99,49.99,,,
26026,"41179","1","Elves","","2016","Queen Dragon's Rescue",,833,59.99,69.99,,,
26027,"41180","1","Elves","","2016","Ragana's Magic Shadow Castle",,1014,74.99,99.99,,,
24620,"41554","1","Mixels","Series 7","2016","Kuffs",,63,3,4.99,5.99,3.99,"http://images.brickset.com/sets/images/41554-1.jpg"
24901,"41555","1","Mixels","Series 7","2016","Busto",,69,3,4.99,5.99,3.99,"http://images.brickset.com/sets/images/41555-1.jpg"
24902,"41556","1","Mixels","Series 7","2016","Tiketz",,62,3,4.99,5.99,3.99,"http://images.brickset.com/sets/images/41556-1.jpg"
24621,"41557","1","Mixels","Series 7","2016","Camillot",,64,3,4.99,5.99,3.99,"http://images.brickset.com/sets/images/41557-1.jpg"
24903,"41558","1","Mixels","Series 7","2016","Mixadel",,63,3,4.99,5.99,3.99,"http://images.brickset.com/sets/images/41558-1.jpg"
24904,"41559","1","Mixels","Series 7","2016","Paladum",,64,3,4.99,5.99,3.99,"http://images.brickset.com/sets/images/41559-1.jpg"
24619,"41560","1","Mixels","Series 7","2016","Jamzy",,70,3,4.99,5.99,3.99,"http://images.brickset.com/sets/images/41560-1.jpg"
24905,"41561","1","Mixels","Series 7","2016","Tapsy",,57,3,4.99,5.99,3.99,"http://images.brickset.com/sets/images/41561-1.jpg"
24906,"41562","1","Mixels","Series 7","2016","Trumpsy",,54,3,4.99,5.99,3.99,"http://images.brickset.com/sets/images/41562-1.jpg"
25002,"41563","1","Mixels","Series 8","2016","Splasho",,67,,4.99,,,"http://images.brickset.com/sets/images/41563-1.jpg"
25003,"41564","1","Mixels","Series 8","2016","Aquad",,70,,4.99,,,"http://images.brickset.com/sets/images/41564-1.jpg"
25004,"41565","1","Mixels","Series 8","2016","Hydro",,70,,4.99,,,"http://images.brickset.com/sets/images/41565-1.jpg"
25005,"41566","1","Mixels","Series 8","2016","Sharx",,55,,4.99,,,"http://images.brickset.com/sets/images/41566-1.jpg"
25006,"41567","1","Mixels","Series 8","2016","Skulzy",,66,,4.99,,,"http://images.brickset.com/sets/images/41567-1.jpg"
25007,"41568","1","Mixels","Series 8","2016","Lewt",,62,,4.99,,,"http://images.brickset.com/sets/images/41568-1.jpg"
25008,"41569","1","Mixels","Series 8","2016","Surgeo",,63,,4.99,,,"http://images.brickset.com/sets/images/41569-1.jpg"
25009,"41570","1","Mixels","Series 8","2016","Skrubz",,68,,4.99,,,"http://images.brickset.com/sets/images/41570-1.jpg"
25010,"41571","1","Mixels","Series 8","2016","Tuth",,67,,4.99,,,"http://images.brickset.com/sets/images/41571-1.jpg"
26033,"41572","1","Mixels","Series 9","2016","Gobbol",,62,,4.99,,,
26034,"41573","1","Mixels","Series 9","2016","Sweepz",,61,,4.99,,,
26035,"41574","1","Mixels","Series 9","2016","Compax",,66,,4.99,,,
26036,"41575","1","Mixels","Series 9","2016","Cobrax",,64,,4.99,,,
26037,"41576","1","Mixels","Series 9","2016","Spinza",,60,,4.99,,,
26038,"41577","1","Mixels","Series 9","2016","Mysto",,64,,4.99,,,
26039,"41578","1","Mixels","Series 9","2016","Screeno",,73,,4.99,,,
26040,"41579","1","Mixels","Series 9","2016","Camsta",,62,,4.99,,,
26041,"41580","1","Mixels","Series 9","2016","Myke",,63,,4.99,,,
24800,"42044","1","Technic","","2016","Display Team Jet",,113,7.99,12.99,15.99,9.99,"http://images.brickset.com/sets/images/42044-1.jpg"
24801,"42045","1","Technic","","2016","Hydroplane Racer",,180,14.99,19.99,24.99,14.99,"http://images.brickset.com/sets/images/42045-1.jpg"
24802,"42046","1","Technic","","2016","Getaway Racer",,170,17.99,19.99,24.99,19.99,"http://images.brickset.com/sets/images/42046-1.jpg"
